address	function_address	category	entropy_disposition
458d7	0x45740	import_address_in_register	not_excluded
458ea	0x45740	import_address_in_register	not_excluded
458fd	0x45740	import_address_in_register	not_excluded
45910	0x45740	import_address_in_register	not_excluded
45923	0x45740	import_address_in_register	not_excluded
45936	0x45740	import_address_in_register	not_excluded
45949	0x45740	import_address_in_register	not_excluded
459cf	0x45740	fixed_local_leaf	excluded_for_reviewed_image
459f0	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45a01	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45a12	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45a42	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45a60	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45a6e	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45a7c	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45ba8	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45bf2	0x45740	import_address_in_register	not_excluded
45c11	0x45740	fixed_local_nonleaf	not_excluded
45c24	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45c42	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45c50	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45c5e	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45d8a	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45dcd	0x45740	direct_import_slot	not_excluded
45e00	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45e1e	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45e2c	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45e3a	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45f66	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45fa9	0x45740	direct_import_slot	not_excluded
45fdf	0x45740	fixed_local_leaf	excluded_for_reviewed_image
45ffd	0x45740	register_value_flow_open	not_excluded
4600a	0x45740	register_value_flow_open	not_excluded
46017	0x45740	register_value_flow_open	not_excluded
46145	0x45740	register_value_flow_open	not_excluded
46188	0x45740	direct_import_slot	not_excluded
461bb	0x45740	register_value_flow_open	not_excluded
461d9	0x45740	register_value_flow_open	not_excluded
461e7	0x45740	register_value_flow_open	not_excluded
461f5	0x45740	register_value_flow_open	not_excluded
46321	0x45740	register_value_flow_open	not_excluded
46364	0x45740	direct_import_slot	not_excluded
4639e	0x45740	fixed_local_leaf	excluded_for_reviewed_image
463bb	0x45740	fixed_local_leaf	excluded_for_reviewed_image
463c8	0x45740	fixed_local_leaf	excluded_for_reviewed_image
463d8	0x45740	fixed_local_leaf	excluded_for_reviewed_image
4654e	0x45740	import_address_in_register	not_excluded
46584	0x45740	fixed_local_leaf	excluded_for_reviewed_image
465a1	0x45740	fixed_local_leaf	excluded_for_reviewed_image
465ae	0x45740	fixed_local_leaf	excluded_for_reviewed_image
465be	0x45740	fixed_local_leaf	excluded_for_reviewed_image
466ea	0x45740	register_value_flow_open	not_excluded
46731	0x45740	import_address_in_register	not_excluded
4674c	0x45740	import_address_in_register	not_excluded
46aca	0x46770	fixed_local_leaf	excluded_for_reviewed_image
48850	0x486c0	import_address_in_register	not_excluded
48863	0x486c0	import_address_in_register	not_excluded
48876	0x486c0	import_address_in_register	not_excluded
48889	0x486c0	import_address_in_register	not_excluded
4889c	0x486c0	import_address_in_register	not_excluded
488af	0x486c0	import_address_in_register	not_excluded
488c2	0x486c0	import_address_in_register	not_excluded
488d5	0x486c0	import_address_in_register	not_excluded
4890e	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
4892b	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48938	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48948	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48ac0	0x486c0	direct_import_slot	not_excluded
48af7	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48b14	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48b21	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48b34	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48cae	0x486c0	import_address_in_register	not_excluded
48ce3	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48d00	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48d0d	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48d18	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
48e4b	0x486c0	register_value_flow_open	not_excluded
48e8e	0x486c0	direct_import_slot	not_excluded
48ec3	0x486c0	register_value_flow_open	not_excluded
48ee1	0x486c0	register_value_flow_open	not_excluded
48eef	0x486c0	register_value_flow_open	not_excluded
48f03	0x486c0	register_value_flow_open	not_excluded
49076	0x486c0	direct_import_slot	not_excluded
49096	0x486c0	fixed_local_nonleaf	not_excluded
490b2	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
490cf	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
490dc	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
490e7	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
49261	0x486c0	import_address_in_register	not_excluded
49296	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
492b3	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
492c0	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
492cb	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
4943e	0x486c0	direct_import_slot	not_excluded
4947a	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
49497	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
494a4	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
494af	0x486c0	fixed_local_leaf	excluded_for_reviewed_image
495e4	0x486c0	register_value_flow_open	not_excluded
4962b	0x486c0	import_address_in_register	not_excluded
49646	0x486c0	import_address_in_register	not_excluded
4a368	0x4a340	import_address_in_register	not_excluded
4a37e	0x4a340	import_address_in_register	not_excluded
4a3d8	0x4a3b0	import_address_in_register	not_excluded
4a3ee	0x4a3b0	import_address_in_register	not_excluded
4a5a8	0x4a580	import_address_in_register	not_excluded
4a5be	0x4a580	import_address_in_register	not_excluded
4b87d	0x4b850	fixed_local_leaf	excluded_for_reviewed_image
4b88e	0x4b850	fixed_local_leaf	excluded_for_reviewed_image
4b89e	0x4b850	fixed_local_leaf	excluded_for_reviewed_image
4b8b1	0x4b850	fixed_local_leaf	excluded_for_reviewed_image
4b8c4	0x4b850	fixed_local_nonleaf	not_excluded
4b8cf	0x4b850	fixed_local_nonleaf	not_excluded
4b92d	0x4b900	fixed_local_leaf	excluded_for_reviewed_image
4b93e	0x4b900	fixed_local_leaf	excluded_for_reviewed_image
4b94e	0x4b900	fixed_local_leaf	excluded_for_reviewed_image
4b961	0x4b900	fixed_local_leaf	excluded_for_reviewed_image
4b974	0x4b900	fixed_local_nonleaf	not_excluded
4b97f	0x4b900	fixed_local_nonleaf	not_excluded
51517	0x51460	fixed_local_leaf	excluded_for_reviewed_image
5152d	0x51460	fixed_local_leaf	excluded_for_reviewed_image
5153e	0x51460	fixed_local_leaf	excluded_for_reviewed_image
515e7	0x51460	fixed_local_leaf	excluded_for_reviewed_image
51604	0x51460	fixed_local_leaf	excluded_for_reviewed_image
51611	0x51460	fixed_local_leaf	excluded_for_reviewed_image
51621	0x51460	fixed_local_leaf	excluded_for_reviewed_image
53998	0x53870	fixed_local_leaf	excluded_for_reviewed_image
539e5	0x53870	fixed_local_leaf	excluded_for_reviewed_image
53a02	0x53870	fixed_local_leaf	excluded_for_reviewed_image
53a0f	0x53870	fixed_local_leaf	excluded_for_reviewed_image
53a1f	0x53870	fixed_local_leaf	excluded_for_reviewed_image
58ab8	0x58990	fixed_local_leaf	excluded_for_reviewed_image
58b05	0x58990	fixed_local_leaf	excluded_for_reviewed_image
58b22	0x58990	fixed_local_leaf	excluded_for_reviewed_image
58b2f	0x58990	fixed_local_leaf	excluded_for_reviewed_image
58b3f	0x58990	fixed_local_leaf	excluded_for_reviewed_image
61bf7	0x61ad0	fixed_local_leaf	excluded_for_reviewed_image
61c0b	0x61ad0	fixed_local_leaf	excluded_for_reviewed_image
61c1e	0x61ad0	fixed_local_leaf	excluded_for_reviewed_image
61c37	0x61ad0	fixed_local_leaf	excluded_for_reviewed_image
61fe4	0x61eb0	fixed_local_leaf	excluded_for_reviewed_image
61ffa	0x61eb0	fixed_local_leaf	excluded_for_reviewed_image
6200d	0x61eb0	fixed_local_leaf	excluded_for_reviewed_image
62026	0x61eb0	fixed_local_leaf	excluded_for_reviewed_image
645a7	0x64580	fixed_local_leaf	excluded_for_reviewed_image
645c8	0x64580	fixed_local_leaf	excluded_for_reviewed_image
645dc	0x64580	fixed_local_leaf	excluded_for_reviewed_image
645f3	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64607	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64621	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64635	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6464c	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64666	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6467a	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64691	0x64580	fixed_local_leaf	excluded_for_reviewed_image
646a7	0x64580	fixed_local_leaf	excluded_for_reviewed_image
646c1	0x64580	fixed_local_leaf	excluded_for_reviewed_image
646d4	0x64580	fixed_local_leaf	excluded_for_reviewed_image
646eb	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64701	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64718	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64732	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64745	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6475c	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64772	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64789	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6479f	0x64580	fixed_local_leaf	excluded_for_reviewed_image
647b9	0x64580	fixed_local_leaf	excluded_for_reviewed_image
647cc	0x64580	fixed_local_leaf	excluded_for_reviewed_image
647e3	0x64580	fixed_local_leaf	excluded_for_reviewed_image
647f9	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64810	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64826	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6483d	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64857	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6486a	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64881	0x64580	fixed_local_leaf	excluded_for_reviewed_image
6488e	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64897	0x64580	fixed_local_leaf	excluded_for_reviewed_image
64966	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64980	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64993	0x64930	fixed_local_leaf	excluded_for_reviewed_image
649a6	0x64930	fixed_local_leaf	excluded_for_reviewed_image
649b7	0x64930	fixed_local_leaf	excluded_for_reviewed_image
649cb	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64a34	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64a4a	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64a74	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64a84	0x64930	fixed_local_nonleaf	not_excluded
64b4b	0x64930	register_value_flow_open	not_excluded
64b87	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64ba6	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64bba	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64d54	0x64930	fixed_local_leaf	excluded_for_reviewed_image
64dcc	0x64930	fixed_local_leaf	excluded_for_reviewed_image
65fd9	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
65fe9	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
65ffc	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6600d	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66023	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66033	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66047	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6605d	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6606d	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66081	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66095	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
660ab	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
660bb	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
660cf	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
660e2	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
660f6	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6610c	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6611c	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66130	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66143	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66157	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6616b	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66181	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66191	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
661a5	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
661b8	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
661cc	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
661df	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
661f3	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66209	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
66219	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6622d	0x65fb0	fixed_local_leaf	excluded_for_reviewed_image
6624a	0x65fb0	register_value_flow_open	not_excluded
662ed	0x662c0	fixed_local_leaf	excluded_for_reviewed_image
662ff	0x662c0	fixed_local_leaf	excluded_for_reviewed_image
66314	0x662c0	fixed_local_leaf	excluded_for_reviewed_image
6632e	0x662c0	fixed_local_leaf	excluded_for_reviewed_image
6633e	0x662c0	fixed_local_leaf	excluded_for_reviewed_image
