address	function_address	category
11299d	0x112820	import_address_in_register
1129c2	0x112820	import_address_in_register
1129ec	0x112820	direct_import_slot
112ce3	0x112b60	import_address_in_register
112d08	0x112b60	import_address_in_register
112d3c	0x112b60	direct_import_slot
114bca	0x114900	import_address_in_register
114bf3	0x114900	import_address_in_register
114c39	0x114900	direct_import_slot
11528d	0x114fa0	import_address_in_register
1152b6	0x114fa0	import_address_in_register
1152f9	0x114fa0	direct_import_slot
119466	0x1193e0	direct_import_slot
11948b	0x1193e0	direct_import_slot
1194f4	0x1193e0	import_address_in_register
11951e	0x1193e0	import_address_in_register
119551	0x1193e0	register_value_flow_open
1195d0	0x1193e0	register_value_flow_open
1195eb	0x1193e0	register_value_flow_open
119ad6	0x119a50	direct_import_slot
119b04	0x119a50	direct_import_slot
119b43	0x119a50	import_address_in_register
119b6a	0x119a50	import_address_in_register
119b91	0x119a50	register_value_flow_open
119c01	0x119a50	register_value_flow_open
119c1a	0x119a50	register_value_flow_open
11ab3e	0x11aab0	direct_import_slot
11ab6b	0x11aab0	direct_import_slot
11abc7	0x11aab0	import_address_in_register
11abee	0x11aab0	import_address_in_register
11ac21	0x11aab0	register_value_flow_open
11aca6	0x11aab0	register_value_flow_open
11acc6	0x11aab0	register_value_flow_open
11b1cc	0x11b140	direct_import_slot
11b1f8	0x11b140	direct_import_slot
11b23c	0x11b140	import_address_in_register
11b263	0x11b140	import_address_in_register
11b291	0x11b140	register_value_flow_open
11b316	0x11b140	register_value_flow_open
11b332	0x11b140	register_value_flow_open
11bfa4	0x11bf50	direct_import_slot
11bfc5	0x11bf50	direct_import_slot
11c042	0x11bf50	import_address_in_register
11c06b	0x11bf50	import_address_in_register
11c091	0x11bf50	register_value_flow_open
11c0dd	0x11bf50	register_value_flow_open
11c0f9	0x11bf50	register_value_flow_open
11cc44	0x11cbf0	direct_import_slot
11cc62	0x11cbf0	direct_import_slot
11cd41	0x11cbf0	import_address_in_register
11cd67	0x11cbf0	import_address_in_register
